"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"2060","Golden State Warriors","3/6/17",2016,3,0,45,"made shot","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",217,141,"Stephen Curry",36
"2061","Golden State Warriors","3/6/17",2016,3,3,28,"missed shot","Jump Shot","3PT Field Goal",23,"Atlanta Hawks",-233,18,"Stephen Curry",0
"2062","Golden State Warriors","3/6/17",2016,1,11,45,"missed shot","Jump Shot","3PT Field Goal",23,"Atlanta Hawks",232,31,"Stephen Curry",0
"2063","Golden State Warriors","3/29/17",2016,3,9,21,"made shot","Jump Shot","3PT Field Goal",26,"San Antonio Spurs",173,203,"Stephen Curry",27
"2064","Golden State Warriors","3/29/17",2016,3,3,16,"missed shot","Jump Shot","3PT Field Goal",28,"San Antonio Spurs",-34,282,"Stephen Curry",0
"2065","Golden State Warriors","3/29/17",2016,3,5,52,"made shot","Jump Shot","3PT Field Goal",25,"San Antonio Spurs",194,165,"Stephen Curry",31
"2066","Golden State Warriors","3/29/17",2016,3,7,34,"made shot","Jump Shot","3PT Field Goal",25,"San Antonio Spurs",197,165,"Stephen Curry",29
"2067","Golden State Warriors","2/4/17",2016,1,2,41,"made shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-171,193,"Stephen Curry",10
"2068","Golden State Warriors","2/4/17",2016,1,11,4,"missed shot","Jump Shot","2PT Field Goal",20,"Sacramento Kings",2,203,"Stephen Curry",0
"2069","Golden State Warriors","2/4/17",2016,1,8,25,"missed shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",-76,252,"Stephen Curry",0
"2070","Golden State Warriors","2/4/17",2016,4,1,30,"missed shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",187,188,"Stephen Curry",0
"2071","Golden State Warriors","2/4/17",2016,4,0,16,"missed shot","Jump Shot","3PT Field Goal",27,"Sacramento Kings",-27,277,"Stephen Curry",0
"2072","Golden State Warriors","2/4/17",2016,3,0,0,"made shot","Jump Shot","3PT Field Goal",29,"Sacramento Kings",135,267,"Stephen Curry",36
"2073","Golden State Warriors","2/4/17",2016,2,0,0,"missed shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",1,267,"Stephen Curry",0
"2074","Golden State Warriors","2/4/17",2016,1,0,18,"missed shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",94,232,"Stephen Curry",0
"2075","Golden State Warriors","2/4/17",2016,4,6,1,"missed shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",-140,224,"Stephen Curry",0
"2076","Golden State Warriors","2/4/17",2016,3,3,17,"made shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",120,237,"Stephen Curry",33
"2077","Golden State Warriors","2/4/17",2016,1,1,5,"made shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-212,141,"Stephen Curry",11
"2078","Golden State Warriors","2/4/17",2016,4,3,38,"made shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",222,115,"Stephen Curry",45
"2079","Golden State Warriors","2/10/17",2016,2,2,44,"made shot","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",-232,11,"Stephen Curry",22
"2080","Golden State Warriors","2/15/17",2016,2,2,43,"missed shot","Jump Shot","3PT Field Goal",29,"Sacramento Kings",109,272,"Stephen Curry",0
"2081","Golden State Warriors","2/15/17",2016,1,3,7,"missed shot","Jump Shot","3PT Field Goal",24,"Sacramento Kings",0,242,"Stephen Curry",0
"2082","Golden State Warriors","2/15/17",2016,1,2,18,"missed shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",155,208,"Stephen Curry",0
"2083","Golden State Warriors","2/15/17",2016,1,7,25,"missed shot","Jump Shot","2PT Field Goal",17,"Sacramento Kings",94,149,"Stephen Curry",0
"2084","Golden State Warriors","2/15/17",2016,1,10,23,"missed shot","Jump Shot","2PT Field Goal",7,"Sacramento Kings",-37,70,"Stephen Curry",0
"2085","Golden State Warriors","2/15/17",2016,3,0,32,"missed shot","Jump Shot","3PT Field Goal",28,"Sacramento Kings",-30,287,"Stephen Curry",0
"2086","Golden State Warriors","2/15/17",2016,2,0,0,"missed shot","Jump Shot","3PT Field Goal",29,"Sacramento Kings",133,262,"Stephen Curry",0
"2087","Golden State Warriors","2/15/17",2016,2,3,44,"made shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-192,170,"Stephen Curry",21
"2088","Golden State Warriors","2/10/17",2016,1,4,47,"missed shot","Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",112,175,"Stephen Curry",0
"2089","Golden State Warriors","2/10/17",2016,2,4,0,"missed shot","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",94,239,"Stephen Curry",0
"2090","Golden State Warriors","2/10/17",2016,1,1,7,"made shot","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",230,-16,"Stephen Curry",11
"2091","Golden State Warriors","2/10/17",2016,1,4,21,"missed shot","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-99,237,"Stephen Curry",0
"2092","Golden State Warriors","2/10/17",2016,1,0,48,"missed shot","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",63,242,"Stephen Curry",0
"2093","Golden State Warriors","2/10/17",2016,1,9,12,"missed shot","Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",153,139,"Stephen Curry",0
"2094","Golden State Warriors","3/31/17",2016,3,2,40,"made shot","Jump Shot","3PT Field Goal",25,"Houston Rockets",207,144,"Stephen Curry",34
"2095","Golden State Warriors","3/18/17",2016,1,1,32,"missed shot","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",120,228,"Stephen Curry",0
"2096","Golden State Warriors","3/24/17",2016,3,0,49,"missed shot","Jump Shot","2PT Field Goal",20,"Sacramento Kings",-201,11,"Stephen Curry",0
"2097","Golden State Warriors","3/24/17",2016,1,2,26,"made shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",55,262,"Stephen Curry",10
"2098","Golden State Warriors","3/24/17",2016,2,3,33,"missed shot","Jump Shot","3PT Field Goal",22,"Sacramento Kings",-228,11,"Stephen Curry",0
"2099","Golden State Warriors","3/24/17",2016,3,7,14,"made shot","Jump Shot","2PT Field Goal",22,"Sacramento Kings",184,124,"Stephen Curry",29
"2100","Golden State Warriors","3/24/17",2016,1,3,0,"missed shot","Jump Shot","3PT Field Goal",24,"Sacramento Kings",73,237,"Stephen Curry",0
"2101","Golden State Warriors","3/24/17",2016,2,2,58,"missed shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",155,208,"Stephen Curry",0
"2102","Golden State Warriors","3/24/17",2016,4,3,12,"missed shot","Jump Shot","3PT Field Goal",30,"Sacramento Kings",-187,244,"Stephen Curry",0
"2103","Golden State Warriors","3/24/17",2016,4,4,12,"made shot","Jump Shot","3PT Field Goal",26,"Sacramento Kings",-192,178,"Stephen Curry",44
"2104","Golden State Warriors","3/24/17",2016,2,2,33,"made shot","Jump Shot","2PT Field Goal",15,"Sacramento Kings",-110,105,"Stephen Curry",22
"2105","Golden State Warriors","3/24/17",2016,1,11,35,"made shot","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-184,174,"Stephen Curry",1
"2106","Golden State Warriors","3/31/17",2016,2,1,41,"missed shot","Jump Shot","2PT Field Goal",19,"Houston Rockets",-129,141,"Stephen Curry",0
"2107","Golden State Warriors","3/31/17",2016,1,2,17,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",87,249,"Stephen Curry",0
"2108","Golden State Warriors","3/31/17",2016,2,4,39,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",-214,149,"Stephen Curry",0
"2109","Golden State Warriors","3/31/17",2016,1,2,11,"missed shot","Jump Shot","2PT Field Goal",12,"Houston Rockets",51,116,"Stephen Curry",0
